url,name,nationality,weight,height,one_day,gc,tt,sprint,climber,hills
https://www.procyclingstats.com/rider/rohan-dennis,Rohan  Dennis,Australia, 72 kg   , 1.82 m,50,2793,6342,26,962,1256
https://www.procyclingstats.com/rider/michael-goolaerts,Michael  Goolaerts,Belgium, 80 kg   , 1.86 m,54,10,34,41,4,8
https://www.procyclingstats.com/rider/sebastien-grignard,Sébastien  Grignard,Belgium, 68 kg   , 1.79 m,110,60,9,0,2,19
https://www.procyclingstats.com/rider/pavel-bittner,Pavel  Bittner,Czech Republic, 73 kg   , 1.84 m,276,59,22,264,39,336
https://www.procyclingstats.com/rider/job-vissers,Job  Vissers,Netherlands,,,31,0,0,0,6,0
https://www.procyclingstats.com/rider/xavier-tondo,Xavier  Tondo,Spain, 68 kg   , 1.82 m,307,1882,779,0,632,78
https://www.procyclingstats.com/rider/kenny-de-ketele,Kenny De Ketele,Belgium, 66 kg   , 1.78 m,11,21,43,0,4,3
https://www.procyclingstats.com/rider/dylan-vandenstorme,Dylan  Vandenstorme,Belgium, 62 kg   , 1.72 m,59,5,0,46,6,12
https://www.procyclingstats.com/rider/andrea-pasqualon,Andrea  Pasqualon,Italy, 68 kg   , 1.74 m,2779,687,74,1057,360,1568
https://www.procyclingstats.com/rider/andrea-zordan,Andrea  Zordan,Italy, 65 kg   , 1.76 m,82,0,0,0,0,0
https://www.procyclingstats.com/rider/david-zabriskie,David  Zabriskie,United States, 67 kg   , 1.83 m,31,1075,4966,83,163,244
https://www.procyclingstats.com/rider/chih-hao-tu,Sergio  Tu,Taiwan, 63 kg   , 1.78 m,15,6,206,0,0,2
https://www.procyclingstats.com/rider/davide-frattini,Davide  Frattini,Italy, 63 kg   , 1.80 m,146,58,2,0,4,0
https://www.procyclingstats.com/rider/egoitz-garcia,Egoitz  García,Spain, 70 kg   , 1.80 m,291,339,41,26,60,188
https://www.procyclingstats.com/rider/david-moncoutie,David  Moncoutié,France, 69 kg   , 1.80 m,1199,3562,1125,1,1932,356
https://www.procyclingstats.com/rider/vasil-kiryienka,Vasil  Kiryienka,Belarus, 69 kg   , 1.82 m,506,1537,4521,29,1288,608
https://www.procyclingstats.com/rider/john-gadret,John  Gadret,France, 58 kg   , 1.70 m,622,1826,219,476,1822,218
https://www.procyclingstats.com/rider/roman-kreuziger,Roman  Kreuziger,Czech Republic, 65 kg   , 1.83 m,2381,5077,2171,49,4204,1572
https://www.procyclingstats.com/rider/tobias-halland-johannessen,Tobias Halland  Johannessen,Norway, 62 kg   , 1.76 m,690,927,55,28,967,836
https://www.procyclingstats.com/rider/aaron-gate,Aaron  Gate,New Zealand, 71 kg   , 1.81 m,323,672,549,298,115,426
https://www.procyclingstats.com/rider/emil-herzog,Emil  Herzog,Germany, 74 kg   , 1.84 m,65,15,36,0,18,28
https://www.procyclingstats.com/rider/oscar-gatto,Oscar  Gatto,Italy, 67 kg   , 1.74 m,1647,572,70,226,240,532
https://www.procyclingstats.com/rider/marcel-wyss,Marcel  Wyss,Switzerland, 63 kg   , 1.77 m,214,913,428,0,352,38
https://www.procyclingstats.com/rider/sebastien-minard,Sébastien  Minard,France, 65 kg   , 1.77 m,718,609,81,20,233,220
https://www.procyclingstats.com/rider/kristoffer-skjerping,Kristoffer  Skjerping,Norway, 71 kg   , 1.82 m,189,66,97,102,22,50
https://www.procyclingstats.com/rider/carlos-canal,Carlos  Canal,Spain, 70 kg   , 1.79 m,293,210,104,132,131,424
https://www.procyclingstats.com/rider/filippo-savini,Filippo  Savini,Italy,, 1.78 m,73,11,9,0,44,0
https://www.procyclingstats.com/rider/mikel-bizkarra,Mikel  Bizkarra,Spain, 53 kg   , 1.65 m,191,1058,28,4,904,176
https://www.procyclingstats.com/rider/antoine-aebi,Antoine  Aebi,Switzerland,,,7,10,80,20,0,12
https://www.procyclingstats.com/rider/jesus-herrada-lopez,Jesús  Herrada,Spain, 70 kg   , 1.83 m,2021,2305,912,39,2036,1376
https://www.procyclingstats.com/rider/arvid-de-kleijn,Arvid de Kleijn,Netherlands, 68 kg   , 1.71 m,1227,96,4,2811,0,240
